what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787263915
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353787265907
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353787267071
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787268183
closed,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787268183
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787269818
closed,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787269818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353787273341
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1353787286169
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353787286273
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787288339
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353787303620
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353787310677
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353787317541
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353787320002
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1353787335820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353787335907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353787345929
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353787364138
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787367808
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787367906
closed,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787367907
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1353787371315
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787371546
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787371591
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1353787372619
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787372838
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787372891
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353787387053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353787389715
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353787392271
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353787404428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353787413045
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353787415679
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1353787434892
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787435098
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787435156
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787441392
closed,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787441392
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353787446455
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353787447793
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1353787611108
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353787611204
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787611392
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787611444
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1353787614316
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787614555
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787614616
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353787626174
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353787630728
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353787663807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353787683466
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787684726
closed,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787684726
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787687344
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353787700529
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1353787724094
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787724390
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787724492
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787760406
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787761276
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787770138
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787773305
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787782199
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353787784458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353787820816
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353787831205
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353787835261
