what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1351723377883
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1351723389165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351723390383
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351723461836
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351723517614
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351723519204
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351723539411
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1351723540219
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1351723550096
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1351723553766
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1351723554090
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201106081058,"org.eclipse.cdt.debug.mi.ui",1351723554226
started,bundle,org.eclipse.cdt.dsf,2.2.0.201106081058,"org.eclipse.cdt.dsf",1351723554239
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.0.201106081058,"org.eclipse.cdt.dsf.gdb",1351723554241
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.0.201106081058,"org.eclipse.cdt.dsf.gdb.ui",1351723554241
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.0.201106081058,"org.eclipse.cdt.debug.mi.core",1351723554259
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1351723613079
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1351723613152
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1351723613767
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1351723616199
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1351723616266
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1351723619471
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1351723619681
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1351723620276
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1351723621070
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1351723621283
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1351723667321
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1351723672247
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1351723711235
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1351723713525
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1351723716422
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351723732885
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1351723737942
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1351723787758
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351723796840
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1351723796857
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351723798739
