what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1354130228912
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1354130228912
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1354130228912
started,bundle,com.aptana.interactive_console,2.7.1.2012100913,"com.aptana.interactive_console",1354130228913
started,bundle,com.aptana.shared_core,2.7.1.2012100913,"com.aptana.shared_core",1354130228913
started,bundle,com.python.pydev,2.7.1.2012100913,"com.python.pydev",1354130228913
started,bundle,com.python.pydev.analysis,2.7.1.2012100913,"com.python.pydev.analysis",1354130228913
started,bundle,com.python.pydev.codecompletion,2.7.1.2012100913,"com.python.pydev.codecompletion",1354130228913
started,bundle,com.python.pydev.refactoring,2.7.1.2012100913,"com.python.pydev.refactoring",1354130228913
started,bundle,org.python.pydev,2.7.1.2012100913,"org.python.pydev",1354130228913
started,bundle,org.python.pydev.core,2.7.1.2012100913,"org.python.pydev.core",1354130228913
started,bundle,org.python.pydev.debug,2.7.1.2012100913,"org.python.pydev.debug",1354130228913
started,bundle,org.python.pydev.django,2.7.1.2012100913,"org.python.pydev.django",1354130228913
started,bundle,org.python.pydev.jython,2.7.1.2012100913,"org.python.pydev.jython",1354130228913
started,bundle,org.python.pydev.parser,2.7.1.2012100913,"org.python.pydev.parser",1354130228913
started,bundle,org.python.pydev.red_core,2.7.1.2012100913,"org.python.pydev.red_core",1354130228913
started,bundle,org.python.pydev.refactoring,2.7.1.2012100913,"org.python.pydev.refactoring",1354130228913
os,sysinfo,,,"macosx",1354130228965
arch,sysinfo,,,"x86_64",1354130228965
ws,sysinfo,,,"cocoa",1354130228965
locale,sysinfo,,,"en_US",1354130228965
processors,sysinfo,,,"2",1354130228965
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1354130228965
java.runtime.version,sysinfo,,,"1.6.0_37-b06-434-11M3909",1354130228965
java.specification.name,sysinfo,,,"Java Platform API Specification",1354130228965
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1354130228965
java.specification.version,sysinfo,,,"1.6",1354130228965
java.vendor,sysinfo,,,"Apple Inc.",1354130228965
java.version,sysinfo,,,"1.6.0_37",1354130228965
java.vm.info,sysinfo,,,"mixed mode",1354130228965
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1354130228965
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1354130228965
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1354130228965
java.vm.specification.version,sysinfo,,,"1.0",1354130228965
