what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_37-b06-434-11M3909",1352906876559
java.specification.name,sysinfo,,,"Java Platform API Specification",1352906876559
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1352906876559
java.specification.version,sysinfo,,,"1.6",1352906876559
java.vendor,sysinfo,,,"Apple Inc.",1352906876559
java.version,sysinfo,,,"1.6.0_37",1352906876559
java.vm.info,sysinfo,,,"mixed mode",1352906876559
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1352906876559
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1352906876559
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1352906876559
java.vm.specification.version,sysinfo,,,"1.0",1352906876559
java.vm.vendor,sysinfo,,,"Apple Inc.",1352906876559
java.vm.version,sysinfo,,,"20.12-b01-434",1352906876559
started,bundle,org.eclipse.datatools.sqltools.parsers.sql.query,1.2.0.v201004291415,"org.eclipse.datatools.sqltools.parsers.sql.query",1352906876842
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1352906876998
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1352906877077
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1352906877226
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1352906877245
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201106081058,"org.eclipse.cdt.codan.ui.cxx",1352906877248
started,bundle,org.eclipse.cdt.make.core,7.1.0.201106081058,"org.eclipse.cdt.make.core",1352906877330
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.0.201106081058,"org.eclipse.cdt.managedbuilder.core",1352906877530
started,bundle,org.eclipse.cdt.core,5.3.0.201106081058,"org.eclipse.cdt.core",1352906877887
started,bundle,org.eclipse.cdt.make.ui,7.1.0.201106081058,"org.eclipse.cdt.make.ui",1352906878180
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201106081058,"org.eclipse.cdt.codan.core.cxx",1352906878198
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201106081058,"org.eclipse.cdt.codan.core",1352906878221
started,bundle,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui",1352906878221
started,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201106081058,"org.eclipse.cdt.codan.checkers",1352906878221
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1352906878469
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1352906878761
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1352906879382
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1352906884195
error,log,,,"Handled error getting contents.",1352906884522
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1352906885751
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1352906887665
closed,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1352906887666
error,log,,,"Unexpected getMarkers error (recovered properly)",1352906890655
error,log,,,"Unexpected getMarkers error (recovered properly)",1352906890656
error,log,,,"Unexpected getMarkers error (recovered properly)",1352906890658
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1352906890778
error,log,,,"Unexpected getMarkers error (recovered properly)",1352906890925
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1352906890965
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1352906903199
error,log,,,"Unexpected getMarkers error (recovered properly)",1352906903456
error,log,,,"Unexpected getMarkers error (recovered properly)",1352906903459
error,log,,,"Unexpected getMarkers error (recovered properly)",1352906903460
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1352906903502
error,log,,,"Unexpected getMarkers error (recovered properly)",1352906903545
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1352906903573
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1352906904210
error,log,,,"Unexpected getMarkers error (recovered properly)",1352906904461
