what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.update",1353184210458
started,bundle,org.eclipse.equinox.p2.director,2.1.0.v20110504-1715,"org.eclipse.equinox.p2.director",1353184210508
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1353184210546
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110510,"org.eclipse.equinox.p2.extensionlocation",1353184210554
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110511,"org.eclipse.equinox.p2.publisher",1353184210577
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.0.v20110511,"org.eclipse.equinox.p2.touchpoint.eclipse",1353184210588
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353184210771
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1353184219137
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1353184219152
started,bundle,org.eclipse.equinox.p2.touchpoint.natives,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.touchpoint.natives",1353184219962
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353184229014
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353184229462
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1353184359227
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353184359409
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201106081058,"org.eclipse.cdt.debug.core",1353184369936
started,bundle,org.eclipse.cdt.debug.ui,7.1.0.201106081058,"org.eclipse.cdt.debug.ui",1353184369947
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1353184370009
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1353184370037
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1353184370079
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1353184370257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353184383455
error,log,,,"Cannot continue the operation.  There is another install operation in progress.",1353184405281
error,log,,,"Cannot continue the operation.  There is another install operation in progress.",1353184405284
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.install",1353184434548
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353184588127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353184589965
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353184834568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353184838451
error,log,,,"Operation details",1353184856861
error,log,,,"Operation details",1353184856870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353184897021
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.install",1353184897118
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353184901631
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353185032825
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353185041474
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353185041576
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1353185043554
