what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1353214654333
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353214671898
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1353214676240
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1353214695729
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353214708220
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353214810884
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353214812407
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1353214816040
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1353214833614
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353214842223
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353214863855
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353214865788
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353214894932
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353214896075
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1353214927972
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1353214969968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353214979572
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353214992488
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353214998154
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353215018221
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353215018975
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1353215020234
