what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353208881527
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353208889101
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1353208939852
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353208940041
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1353208945822
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353208946086
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353208946153
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353208947836
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1353208950394
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353208951751
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353208951854
closed,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353208951854
closed,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353208953065
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1353208960337
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353208960585
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353208960649
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1353208969326
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353208969608
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353208969657
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1353208973719
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1353208976692
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353208976856
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1353208979905
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353208980928
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1353208992414
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353208992671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353209035194
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353209061805
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353209073083
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353209080835
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353209083260
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353209100197
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353209106770
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353209113838
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1353209120486
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353209123473
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1353209123541
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353209176109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353210049445
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353210054263
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353210334239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353210346109
